movie_id,movie_name,year,decade,certificate,runtime_in_minutes,genre,rating,description,director,director_id,star,star_id,votes,gross_in_dollars
tt0118548,Absolute Power,1997,1990s,R,121,Action,6.7,Career thief Luther Whitney (Clint Eastwood) witnesses a horrific crime involving U.S. President Alan Richmond (Gene Hackman).,Clint Eastwood,/name/nm0000142/,"Clint Eastwood, Gene Hackman, Ed Harris, Laura Linney","/name/nm0000142/,/name/nm0000432/,/name/nm0000438/,/name/nm0001473/",56752,50007168
tt2975578,The Purge: Anarchy,2014,2010s,R,103,Action,6.4,"Three groups of people intertwine and are left stranded in the streets on Purge Night, trying to survive the chaos and violence that occurs.",James DeMonaco,/name/nm0218621/,"Frank Grillo, Carmen Ejogo, Zach Gilford, Kiele Sanchez","/name/nm0342029/,/name/nm0252238/,/name/nm1472917/,/name/nm0760989/",154988,71962800
tt0432021,Resident Evil: Extinction,2007,2000s,R,94,Action,6.2,"Survivors of the Raccoon City catastrophe travel across the Nevada desert, hoping to make it to Alaska. Alice joins the caravan and their fight against the evil Umbrella Corp.",Russell Mulcahy,/name/nm0611683/,"Milla Jovovich, Ali Larter, Oded Fehr, Iain Glen","/name/nm0000170/,/name/nm0005123/,/name/nm0004912/,/name/nm0322513/",198392,50648679
tt0338337,Paycheck,2003,2000s,PG-13,119,Action,6.3,"What seemed like a breezy idea for an engineer to net him millions of dollars, leaves him on the run for his life and piecing together why he's being chased.",John Woo,/name/nm0000247/,"Ben Affleck, Aaron Eckhart, Uma Thurman, Michael C. Hall","/name/nm0000255/,/name/nm0001173/,/name/nm0000235/,/name/nm0355910/",110073,53790451
tt0114781,Under Siege 2: Dark Territory,1995,1990s,R,100,Action,5.5,"Casey Ryback hops on a Colorado to LA train to start a vacation with his niece. Early into the trip, terrorists board the train and use it as a mobile HQ to hijack a top secret destructive US satellite.",Geoff Murphy,/name/nm0614276/,"Steven Seagal, Eric Bogosian, Everett McGill, Katherine Heigl","/name/nm0000219/,/name/nm0091899/,/name/nm0569239/,/name/nm0001337/",47913,50024083
tt0115759,Broken Arrow,1996,1990s,R,108,Action,6.1,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.,John Woo,/name/nm0000247/,"John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo","/name/nm0000237/,/name/nm0000225/,/name/nm0000526/,/name/nm0005148/",100647,70770147
tt0120828,Six Days Seven Nights,1998,1990s,PG-13,102,Action,5.9,"Robin Monroe, a New York magazine editor, and the gruff pilot Quinn Harris must put aside their mutual dislike if they are to survive after crash landing on a deserted South Seas island.",Ivan Reitman,/name/nm0718645/,"Harrison Ford, Anne Heche, David Schwimmer, Jacqueline Obradors","/name/nm0000148/,/name/nm0000162/,/name/nm0001710/,/name/nm0005283/",79722,74329966
tt0146675,End of Days,1999,1990s,R,122,Action,5.8,"At the end of the century, Satan visits New York in search of a bride. It's up to an ex-cop who now runs an elite security outfit to stop him.",Peter Hyams,/name/nm0001382/,"Arnold Schwarzenegger, Gabriel Byrne, Robin Tunney, Kevin Pollak","/name/nm0000216/,/name/nm0000321/,/name/nm0000677/,/name/nm0001629/",112307,66889043
tt0409182,Poseidon,2006,2000s,PG-13,98,Action,5.7,"On New Year's Eve, the luxury ocean liner Poseidon capsizes after being swamped by a rogue wave. The survivors are left to fight for their lives as they attempt to escape the sinking ship.",Wolfgang Petersen,/name/nm0000583/,"Richard Dreyfuss, Kurt Russell, Emmy Rossum, Josh Lucas","/name/nm0000377/,/name/nm0000621/,/name/nm0002536/,/name/nm0524197/",106592,60674817
tt0120053,The Saint,1997,1990s,PG-13,116,Action,6.2,"Simon Templar (The Saint), is a thief for hire, whose latest job to steal the secret process for cold fusion puts him at odds with a traitor bent on toppling the Russian government, as well as the woman who holds its secret.",Phillip Noyce,/name/nm0637518/,"Val Kilmer, Elisabeth Shue, Rade Serbedzija, Valeriy Nikolaev","/name/nm0000174/,/name/nm0000223/,/name/nm0784884/,/name/nm0631792/",69867,61355436
tt0119395,The Jackal,1997,1990s,R,124,Action,6.4,"An imprisoned I.R.A. fighter is freed to help stop a brutal, seemingly ""faceless"" assassin from completing his next job.",Michael Caton-Jones,/name/nm0001994/,"Bruce Willis, Richard Gere, Sidney Poitier, Diane Venora","/name/nm0000246/,/name/nm0000152/,/name/nm0001627/,/name/nm0893204/",119245,54930280
tt0292506,The Recruit,2003,2000s,PG-13,115,Action,6.6,A brilliant young CIA trainee is asked by his mentor to help find a mole in the Agency.,Roger Donaldson,/name/nm0002044/,"Al Pacino, Colin Farrell, Bridget Moynahan, Gabriel Macht","/name/nm0000199/,/name/nm0268199/,/name/nm0005256/,/name/nm0532683/",138199,52802140
tt3014284,The Lego Ninjago Movie,2017,2010s,PG,101,Action,6,"Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas.","Charlie Bean, Paul Fisher, Bob Logan",/name/nm0063769/,"Jackie Chan, Dave Franco, Fred Armisen, Kumail Nanjiani","/name/nm0279729/,/name/nm0517517/,/name/nm0000329/,/name/nm2002649/,/name/nm0035488/,/name/nm3529685/",27232,59281555
